iter	Passed	Remaining
0	3	3789
1	6	3169
2	9	3322
3	12	3173
4	15	3004
5	17	2908
6	20	2916
7	23	2871
8	25	2831
9	28	2854
10	31	2869
11	34	2804
12	36	2793
13	39	2765
14	41	2744
15	43	2702
16	46	2670
17	48	2644
18	51	2642
19	53	2612
20	55	2586
21	57	2557
22	59	2532
23	61	2500
24	63	2463
25	65	2444
26	67	2445
27	69	2424
28	71	2405
29	73	2377
30	75	2356
31	77	2342
32	79	2335
33	81	2321
34	84	2316
35	86	2306
36	88	2302
37	90	2294
38	92	2273
39	94	2257
40	96	2246
41	98	2252
42	100	2239
43	102	2224
44	104	2213
45	106	2210
46	108	2196
47	110	2191
48	112	2192
49	115	2202
50	118	2196
51	120	2189
52	122	2183
53	124	2181
54	126	2175
55	129	2175
56	132	2195
57	135	2194
58	137	2186
59	139	2185
60	141	2181
61	143	2169
62	146	2173
63	148	2168
64	150	2166
65	152	2162
66	154	2156
67	157	2163
68	159	2153
69	162	2160
70	164	2153
71	166	2150
72	169	2146
73	170	2139
74	173	2137
75	175	2133
76	178	2135
77	180	2129
78	182	2127
79	184	2122
80	186	2116
81	188	2108
82	190	2107
83	193	2110
84	195	2108
85	197	2100
86	200	2100
87	202	2094
88	204	2089
89	206	2084
90	208	2086
91	211	2082
92	212	2074
93	215	2072
94	216	2065
95	219	2063
96	221	2058
97	223	2056
98	225	2053
99	227	2047
100	229	2045
101	231	2039
102	233	2033
103	235	2030
104	238	2029
105	240	2030
106	242	2025
107	244	2023
108	247	2022
109	250	2029
110	253	2027
111	256	2030
112	258	2026
113	260	2024
114	262	2019
115	264	2015
116	266	2013
117	268	2009
118	271	2009
119	273	2006
120	275	2004
121	277	2000
122	279	1996
123	281	1990
124	283	1985
125	285	1980
126	288	1979
127	290	1976
128	292	1973
129	294	1971
130	296	1967
131	299	1966
132	301	1962
133	303	1962
134	305	1958
135	307	1955
136	309	1948
137	311	1946
138	314	1945
139	316	1941
140	318	1942
141	320	1938
142	322	1934
143	324	1930
144	326	1925
145	328	1920
146	330	1916
147	332	1916
148	335	1915
149	337	1912
150	339	1907
151	341	1906
152	343	1903
153	346	1901
154	348	1901
155	351	1900
156	353	1899
157	356	1898
158	358	1894
159	360	1891
160	362	1886
161	364	1884
162	367	1885
163	369	1883
164	371	1879
165	373	1876
166	375	1873
167	377	1871
168	379	1868
169	382	1865
170	384	1863
171	386	1859
172	388	1855
173	390	1853
174	392	1850
175	394	1847
176	397	1848
177	399	1845
178	401	1842
179	404	1841
180	406	1838
181	408	1835
182	410	1831
183	412	1831
184	414	1828
185	417	1825
186	418	1821
187	420	1818
188	422	1814
189	425	1812
190	427	1812
191	430	1810
192	432	1807
193	434	1804
194	436	1801
195	438	1798
196	440	1797
197	443	1798
198	447	1800
199	449	1798
200	452	1798
201	456	1802
202	458	1799
203	461	1799
204	463	1796
205	465	1795
206	468	1793
207	471	1794
208	474	1794
209	477	1795
210	479	1793
211	482	1791
212	484	1790
213	486	1788
214	489	1786
215	491	1784
216	494	1784
217	496	1782
218	499	1780
219	501	1777
220	503	1775
221	505	1773
222	508	1772
223	511	1770
224	513	1768
225	515	1765
226	517	1762
227	519	1760
228	522	1760
229	525	1759
230	527	1756
231	529	1754
232	532	1751
233	534	1748
234	535	1744
235	538	1742
236	540	1740
237	542	1736
238	544	1734
239	547	17342240	550	17322241	553	17332242	556	17342243	559	17322244	561	17292245	563	17252246	565	17232247	567	17202248	569	17172249	572	17162250	574	17132251	576	17092252	578	17062253	580	17032254	582	17002255	584	16992256	587	16992257	589	16962258	592	16942259	594	16912260	596	16892261	599	16872262	601	16862263	603	16832264	606	16822265	609	16812266	611	16792267	614	16772268	616	16742269	619	16762270	622	16742271	624	16722272	627	16702273	629	16682274	631	16652275	634	16642276	636	16622277	639	16602278	641	16572279	645	1659279	702	1807
2281	651	16582282	653	16562283	656	16542284	658	16512285	660	16482286	662	16462287	665	16442288	667	16422289	669	16392290	672	16372291	674	16352292	676	16332293	679	16302294	682	1630294	738	1764
295	740	1762
296	743	1760
297	746	1757
298	749	1756
299	751	1754
300	754	1752
301	757	1750
302	759	1747
303	761	1744
304	763	1740
305	766	1738
306	769	1737
307	772	1735
308	774	1732
309	777	1730
310	779	1726
311	781	1722
312	783	1720
313	786	1717
314	788	1713
315	790	1710
316	792	1707
317	794	1704
318	796	1700
319	799	1699
320	802	1696
321	804	1693
322	806	1690
323	808	1687
324	811	1684
325	813	1682
326	815	1679
327	817	1675
328	820	1672
329	822	1669
330	824	1666
331	826	1663
332	829	1661
333	831	1658
334	833	1654
335	835	1651
336	837	1648
337	839	1644
338	842	1642
339	844	1638
340	846	1636
341	848	1632
342	850	1629
343	853	1627
344	855	1624
345	857	1621
346	860	1619
347	862	1616
348	864	1612
349	866	1609
350	868	1606
351	871	1604
352	873	1600
353	875	1597
354	877	1594
355	879	1591
356	881	1587
357	883	1584
358	885	1581
359	887	1578
360	889	1575
361	892	1572
362	894	1569
363	896	1567
364	899	1564
365	901	1561
366	903	1558
367	905	1555
368	908	1553
369	910	1550
370	913	1547
371	915	1545
372	917	1542
373	919	1539
374	921	1536
375	924	1533
376	926	1530
377	928	1527
378	930	1524
379	932	1521
380	934	1518
381	936	1515
382	939	1514
383	941	1510
384	944	1508
385	946	1505
386	948	1502
387	950	1499
388	952	1496
389	955	1495
390	958	1492
391	960	1489
392	962	1486
393	964	1483
394	966	1480
395	968	1477
396	971	1475
397	973	1472
398	975	1469
399	977	1466
400	980	1464
401	982	1461
402	984	1458
403	987	1456
404	989	1453
405	991	1450
406	993	1447
407	995	1444
408	997	1441
409	999	1438
410	1002	1436
411	1004	1433
412	1006	1430
413	1008	1427
414	1010	1424
415	1012	1421
416	1014	1418
417	1016	1415
418	1019	1413
419	1021	1410
420	1023	1407
421	1025	1404
422	1027	1401
423	1029	1398
424	1031	1396
425	1034	1393
426	1036	1391
427	1038	1388
428	1041	1385
429	1043	1382
430	1045	1380
431	1047	1377
432	1049	1374
433	1052	1372
434	1054	1369
435	1056	1366
436	1058	1363
437	1060	1360
438	1062	1358
439	1065	1355
440	1067	1353
441	1069	1350
442	1071	1347
443	1073	1344
444	1076	1342
445	1078	1339
446	1081	1337
447	1083	1334
448	1085	1331
449	1087	1329
450	1089	1325
451	1091	1323
452	1093	1320
453	1096	1318
454	1098	1315
455	1100	1312
456	1102	1309
457	1104	1307
458	1106	1304
459	1108	1301
460	1111	1299
461	1113	1297
462	1115	1294
463	1118	1291
464	1120	1289
465	1122	1286
466	1124	1283
467	1127	1281
468	1129	1278
469	1131	1275
470	1133	1272
471	1135	1269
472	1136	1266
473	1138	1263
474	1140	1261
475	1143	1258
476	1145	1256
477	1147	1253
478	1149	1250
479	1152	1248
480	1154	1245
481	1156	1243
482	1158	1240
483	1160	1237
484	1162	1234
485	1164	1231
486	1167	1229
487	1169	1226
488	1171	1224
489	1174	1222
490	1177	1220
491	1179	1217
492	1181	1215
493	1183	1212
494	1185	1209
495	1188	1207
496	1190	1204
497	1192	1202
498	1194	1199
499	1197	1197
500	1199	1194
501	1201	1192
502	1204	1189
503	1206	1187
504	1208	1184
505	1210	1181
506	1212	1178
507	1214	1176
508	1216	1173
509	1218	1170
510	1221	1168
511	1223	1165
512	1225	1163
513	1227	1160
514	1229	1158
515	1231	1155
516	1233	1152
517	1236	1150
518	1238	1147
519	1240	1144
520	1242	1142
521	1244	1139
522	1247	1137
523	1249	1134
524	1252	1132
525	1254	1130
526	1256	1127
527	1258	1124
528	1260	1122
529	1263	1120
530	1265	1117
531	1267	1115
532	1269	1112
533	1271	1109
534	1273	1107
535	1276	1104
536	1278	1102
537	1280	1099
538	1283	1097
539	1285	1094
540	1287	1092
541	1289	1089
542	1291	1087
543	1293	1084
544	1295	1081
545	1297	1078
546	1299	1076
547	1301	1073
548	1303	1070
549	1305	1068
550	1307	1065
551	1309	1062
552	1311	1060
553	1314	1057
554	1316	1055
555	1318	1052
556	1320	1050
557	1322	1047
558	1324	1044
559	1326	1042
560	1329	1040
561	1331	1037
562	1333	1034
563	1335	1032
564	1337	1029
565	1339	1027
566	1341	1024
567	1343	1021
568	1346	1019
569	1348	1017
570	1350	1014
571	1352	1012
572	1355	1009
573	1357	1007
574	1359	1004
575	1361	1002
576	1363	999
577	1365	997
578	1367	994
579	1370	992
580	1372	989
581	1375	987
582	1377	985
583	1380	983
584	1382	980
585	1384	978
586	1386	975
587	1388	973
588	1391	970
589	1393	968
590	1395	965
591	1398	963
592	1400	960
593	1402	958
594	1404	956
595	1407	953
596	1409	951
597	1411	948
598	1413	946
599	1415	943
600	1417	941
601	1419	938
602	1422	936
603	1424	934
604	1426	931
605	1428	928
606	1430	926
607	1433	923
608	1435	921
609	1437	918
610	1439	916
611	1441	913
612	1443	911
613	1446	909
614	1448	906
615	1450	904
616	1452	901
617	1455	899
618	1457	897
619	1459	894
620	1462	892
621	1464	889
622	1466	887
623	1468	884
624	1471	882
625	1473	880
626	1475	877
627	1477	875
628	1479	872
629	1481	870
630	1484	867
631	1487	866
632	1489	863
633	1491	860
634	1493	858
635	1495	856
636	1498	853
637	1500	851
638	1503	849
639	1505	846
640	1507	844
641	1509	841
642	1511	839
643	1514	837
644	1517	835
645	1519	832
646	1522	830
647	1524	827
648	1526	825
649	1528	823
650	1530	820
651	1533	818
652	1535	816
653	1538	814
654	1541	812
655	1544	810
656	1548	808
657	1550	805
658	1552	803
659	1554	800
660	1556	798
661	1558	795
662	1561	793
663	1563	791
664	1566	789
665	1568	786
666	1570	784
667	1572	781
668	1575	779
669	1577	776
670	1579	774
671	1582	772
672	1583	769
673	1585	767
674	1587	764
675	1589	761
676	1591	759
677	1594	757
678	1596	754
679	1599	752
680	1601	750
681	1603	747
682	1605	745
683	1607	742
684	1610	740
685	1612	737
686	1614	735
687	1615	732
688	1618	730
689	1620	727
690	1621	725
691	1623	722
692	1626	720
693	1628	717
694	1629	715
695	1631	712
696	1633	710
697	1635	707
698	1637	705
699	1639	702
700	1642	700
701	1644	698
702	1646	695
703	1667	701
704	1670	698
705	1675	697
706	1678	695
707	1680	693
708	1682	690
709	1684	688
710	1687	685
711	1689	683
712	1691	680
713	1693	678
714	1695	675
715	1697	673
716	1699	670
717	1701	668
718	1704	666
719	1706	663
720	1708	661
721	1711	658
722	1713	656
723	1715	653
724	1716	651
725	1719	648
726	1722	646
727	1723	644
728	1725	641
729	1727	638
730	1729	636
731	1731	633
732	1733	631
733	1735	629
734	1737	626
735	1740	624
736	1742	621
737	1744	619
738	1746	616
